Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
24-May-24	EQ	"3,406.00"	"3,457.85"	"3,355.60"	"3,387.30"	"3,381.00"	"3,384.95"	"3,409.34"	"3,457.85"	"1,983.40"	"34,73,668"	"11,84,29,11,664.85"	"1,79,402"
23-May-24	EQ	"3,156.70"	"3,406.00"	"3,135.55"	"3,140.95"	"3,398.20"	"3,387.30"	"3,302.83"	"3,406.00"	"1,983.40"	"69,79,082"	"23,05,07,29,208.95"	"3,27,015"
22-May-24	EQ	"3,129.95"	"3,145.00"	"3,073.50"	"3,117.50"	"3,137.00"	"3,140.95"	"3,121.08"	"3,350.00"	"1,983.40"	"33,71,077"	"10,52,14,07,989.95"	"95,242"
21-May-24	EQ	"3,067.90"	"3,175.00"	"3,034.50"	"3,059.75"	"3,110.00"	"3,117.50"	"3,123.72"	"3,350.00"	"1,983.40"	"30,91,659"	"9,65,74,85,170.60"	"1,35,865"
18-May-24	EQ	"3,074.00"	"3,074.00"	"3,055.00"	"3,060.50"	"3,061.00"	"3,059.75"	"3,064.28"	"3,350.00"	"1,857.75"	"74,336"	"22,77,86,473.25"	"5,248"
17-May-24	EQ	"3,041.05"	"3,091.00"	"3,015.50"	"3,041.65"	"3,057.00"	"3,060.50"	"3,053.08"	"3,350.00"	"1,857.75"	"8,25,436"	"2,52,01,25,368.65"	"74,283"
16-May-24	EQ	"3,065.00"	"3,076.95"	"2,974.95"	"3,049.75"	"3,034.05"	"3,041.65"	"3,022.05"	"3,350.00"	"1,857.75"	"18,35,312"	"5,54,63,98,277.35"	"1,44,012"
15-May-24	EQ	"3,046.75"	"3,118.85"	"3,037.60"	"3,037.55"	"3,047.00"	"3,049.75"	"3,074.65"	"3,350.00"	"1,857.75"	"16,88,836"	"5,19,25,83,624.45"	"93,983"
14-May-24	EQ	"2,894.95"	"3,046.00"	"2,874.55"	"2,879.60"	"3,035.00"	"3,037.55"	"2,995.85"	"3,350.00"	"1,857.75"	"57,25,807"	"17,15,36,65,502.90"	"1,96,967"
13-May-24	EQ	"2,803.00"	"2,890.00"	"2,790.50"	"2,797.25"	"2,888.85"	"2,879.60"	"2,839.27"	"3,350.00"	"1,857.75"	"37,84,373"	"10,74,48,38,041.40"	"1,15,926"
10-May-24	EQ	"2,794.95"	"2,809.00"	"2,760.45"	"2,766.65"	"2,803.90"	"2,797.25"	"2,791.48"	"3,350.00"	"1,857.75"	"23,54,794"	"6,57,33,68,242.40"	"79,999"
09-May-24	EQ	"2,864.80"	"2,883.65"	"2,756.00"	"2,860.55"	"2,765.00"	"2,766.65"	"2,814.22"	"3,350.00"	"1,857.75"	"14,85,510"	"4,18,05,48,928.95"	"1,16,557"
08-May-24	EQ	"2,850.00"	"2,890.90"	"2,820.00"	"2,835.95"	"2,862.00"	"2,860.55"	"2,860.65"	"3,350.00"	"1,857.75"	"9,51,411"	"2,72,16,50,623.40"	"57,225"
07-May-24	EQ	"2,889.95"	"2,905.35"	"2,822.00"	"2,874.65"	"2,839.00"	"2,835.95"	"2,857.91"	"3,350.00"	"1,857.75"	"12,62,311"	"3,60,75,75,910.50"	"73,865"
06-May-24	EQ	"2,993.25"	"3,000.20"	"2,850.00"	"2,993.25"	"2,872.00"	"2,874.65"	"2,890.39"	"3,350.00"	"1,857.75"	"23,77,944"	"6,87,31,81,126.10"	"1,26,554"
03-May-24	EQ	"3,030.00"	"3,045.00"	"2,975.10"	"3,039.60"	"2,990.00"	"2,993.25"	"3,007.11"	"3,350.00"	"1,785.35"	"14,72,168"	"4,42,69,76,478.70"	"93,663"
02-May-24	EQ	"3,071.95"	"3,119.85"	"3,015.05"	"3,054.70"	"3,029.00"	"3,039.60"	"3,065.29"	"3,350.00"	"1,785.35"	"22,19,085"	"6,80,21,49,701.55"	"1,69,345"
30-Apr-24	EQ	"3,094.00"	"3,108.45"	"3,045.00"	"3,081.20"	"3,052.50"	"3,054.70"	"3,074.15"	"3,350.00"	"1,785.35"	"8,04,552"	"2,47,33,12,213.75"	"50,263"
29-Apr-24	EQ	"3,110.00"	"3,110.50"	"3,051.50"	"3,080.40"	"3,080.00"	"3,081.20"	"3,079.00"	"3,350.00"	"1,785.35"	"6,48,544"	"1,99,68,68,646.30"	"51,392"
26-Apr-24	EQ	"3,119.90"	"3,129.90"	"3,066.05"	"3,115.25"	"3,089.00"	"3,080.40"	"3,090.20"	"3,350.00"	"1,775.80"	"6,62,764"	"2,04,80,70,862.50"	"51,695"
25-Apr-24	EQ	"3,050.00"	"3,120.90"	"3,025.65"	"3,043.55"	"3,115.00"	"3,115.25"	"3,078.50"	"3,350.00"	"1,775.80"	"15,15,529"	"4,66,55,50,155.30"	"1,03,832"
24-Apr-24	EQ	"3,071.95"	"3,087.85"	"3,040.00"	"3,065.10"	"3,042.90"	"3,043.55"	"3,066.42"	"3,350.00"	"1,775.80"	"6,05,917"	"1,85,79,95,179.50"	"36,665"
23-Apr-24	EQ	"3,059.00"	"3,091.00"	"3,043.10"	"3,063.35"	"3,058.00"	"3,065.10"	"3,066.74"	"3,350.00"	"1,775.80"	"16,54,272"	"5,07,32,27,670.15"	"61,219"
22-Apr-24	EQ	"3,053.00"	"3,077.50"	"3,025.00"	"3,026.95"	"3,072.25"	"3,063.35"	"3,050.24"	"3,350.00"	"1,775.80"	"9,93,929"	"3,03,17,26,638.60"	"51,253"
19-Apr-24	EQ	"3,000.00"	"3,057.05"	"2,962.50"	"3,019.30"	"3,032.00"	"3,026.95"	"3,020.56"	"3,350.00"	"1,775.80"	"17,27,317"	"5,21,74,64,090.25"	"91,721"
18-Apr-24	EQ	"3,125.15"	"3,145.00"	"3,008.30"	"3,106.40"	"3,035.00"	"3,019.30"	"3,095.25"	"3,350.00"	"1,775.80"	"17,03,646"	"5,27,32,14,333.20"	"1,06,820"
16-Apr-24	EQ	"3,101.00"	"3,149.20"	"3,100.00"	"3,147.45"	"3,108.00"	"3,106.40"	"3,119.45"	"3,350.00"	"1,775.80"	"11,34,184"	"3,53,80,30,814.20"	"48,602"
15-Apr-24	EQ	"3,150.00"	"3,180.30"	"3,103.20"	"3,209.90"	"3,149.95"	"3,147.45"	"3,143.46"	"3,350.00"	"1,775.80"	"10,35,378"	"3,25,46,71,241.05"	"73,457"
12-Apr-24	EQ	"3,210.00"	"3,247.50"	"3,205.30"	"3,242.00"	"3,215.00"	"3,209.90"	"3,221.01"	"3,350.00"	"1,760.60"	"7,05,173"	"2,27,13,68,817.95"	"40,387"
10-Apr-24	EQ	"3,200.00"	"3,254.60"	"3,192.50"	"3,198.45"	"3,245.00"	"3,242.00"	"3,231.43"	"3,350.00"	"1,760.60"	"14,41,138"	"4,65,69,32,148.25"	"55,670"
09-Apr-24	EQ	"3,240.70"	"3,251.00"	"3,185.00"	"3,224.55"	"3,202.60"	"3,198.45"	"3,214.28"	"3,350.00"	"1,760.60"	"8,33,679"	"2,67,96,74,649.95"	"38,430"
08-Apr-24	EQ	"3,240.95"	"3,243.50"	"3,197.20"	"3,224.80"	"3,236.00"	"3,224.55"	"3,216.90"	"3,350.00"	"1,760.60"	"5,77,440"	"1,85,75,68,319.50"	"37,073"
05-Apr-24	EQ	"3,211.10"	"3,234.00"	"3,178.95"	"3,210.80"	"3,217.90"	"3,224.80"	"3,215.34"	"3,350.00"	"1,671.55"	"7,55,607"	"2,42,95,32,121.50"	"37,497"
04-Apr-24	EQ	"3,250.00"	"3,273.00"	"3,201.70"	"3,233.45"	"3,220.00"	"3,210.80"	"3,234.57"	"3,350.00"	"1,671.55"	"14,03,826"	"4,54,07,71,025.65"	"99,323"
03-Apr-24	EQ	"3,250.00"	"3,260.15"	"3,222.00"	"3,268.75"	"3,238.00"	"3,233.45"	"3,238.76"	"3,350.00"	"1,671.55"	"11,53,109"	"3,73,46,40,011.85"	"55,622"
02-Apr-24	EQ	"3,258.95"	"3,285.00"	"3,240.00"	"3,252.10"	"3,267.35"	"3,268.75"	"3,259.76"	"3,350.00"	"1,671.55"	"8,68,829"	"2,83,21,69,851.80"	"55,071"
01-Apr-24	EQ	"3,230.20"	"3,291.80"	"3,207.85"	"3,197.10"	"3,255.20"	"3,252.10"	"3,247.41"	"3,350.00"	"1,671.55"	"12,92,646"	"4,19,77,48,362.70"	"71,000"
28-Mar-24	EQ	"3,134.00"	"3,237.00"	"3,096.75"	"3,122.10"	"3,197.00"	"3,197.10"	"3,178.72"	"3,350.00"	"1,573.00"	"23,27,053"	"7,39,70,54,019.95"	"1,41,506"
27-Mar-24	EQ	"3,115.00"	"3,138.45"	"3,106.25"	"3,109.95"	"3,124.25"	"3,122.10"	"3,122.82"	"3,350.00"	"1,573.00"	"9,00,231"	"2,81,12,59,467.70"	"66,957"
26-Mar-24	EQ	"3,100.50"	"3,171.95"	"3,089.10"	"3,107.70"	"3,112.00"	"3,109.95"	"3,130.27"	"3,350.00"	"1,573.00"	"9,37,103"	"2,93,33,89,321.75"	"66,405"
22-Mar-24	EQ	"3,066.55"	"3,128.95"	"3,048.05"	"3,066.50"	"3,103.00"	"3,107.70"	"3,095.08"	"3,350.00"	"1,573.00"	"9,51,557"	"2,94,51,44,032.25"	"63,264"
21-Mar-24	EQ	"3,089.55"	"3,107.10"	"3,059.60"	"3,051.45"	"3,071.65"	"3,066.50"	"3,080.51"	"3,350.00"	"1,573.00"	"11,75,751"	"3,62,19,07,779.40"	"67,248"
20-Mar-24	EQ	"3,075.00"	"3,083.20"	"3,021.10"	"3,052.70"	"3,050.10"	"3,051.45"	"3,046.55"	"3,350.00"	"1,573.00"	"9,66,481"	"2,94,44,32,546.60"	"64,232"
19-Mar-24	EQ	"3,126.00"	"3,164.80"	"3,041.85"	"3,111.75"	"3,055.90"	"3,052.70"	"3,093.78"	"3,350.00"	"1,573.00"	"14,60,452"	"4,51,83,20,848.55"	"92,875"
18-Mar-24	EQ	"3,050.10"	"3,124.00"	"2,976.05"	"3,132.20"	"3,110.00"	"3,111.75"	"3,053.40"	"3,350.00"	"1,573.00"	"30,42,515"	"9,29,00,11,236.80"	"1,59,589"
15-Mar-24	EQ	"3,111.00"	"3,143.40"	"3,061.25"	"3,087.45"	"3,125.00"	"3,132.20"	"3,108.38"	"3,350.00"	"1,573.00"	"21,99,094"	"6,83,56,27,396.35"	"1,20,251"
14-Mar-24	EQ	"2,927.45"	"3,101.20"	"2,880.00"	"2,906.20"	"3,085.00"	"3,087.45"	"3,033.64"	"3,350.00"	"1,573.00"	"37,59,100"	"11,40,37,63,726.10"	"2,46,625"
13-Mar-24	EQ	"3,125.00"	"3,138.05"	"2,850.15"	"3,122.50"	"2,909.80"	"2,906.20"	"2,950.44"	"3,350.00"	"1,573.00"	"34,07,040"	"10,05,22,56,475.10"	"2,37,808"
12-Mar-24	EQ	"3,207.35"	"3,222.70"	"3,111.00"	"3,207.35"	"3,122.90"	"3,122.50"	"3,156.27"	"3,350.00"	"1,573.00"	"11,99,487"	"3,78,59,08,989.05"	"86,164"
11-Mar-24	EQ	"3,241.20"	"3,259.00"	"3,200.00"	"3,226.55"	"3,210.00"	"3,207.35"	"3,229.54"	"3,350.00"	"1,573.00"	"7,38,851"	"2,38,61,51,544.55"	"48,887"
07-Mar-24	EQ	"3,240.00"	"3,262.00"	"3,220.00"	"3,233.95"	"3,229.00"	"3,226.55"	"3,240.29"	"3,350.00"	"1,573.00"	"8,56,328"	"2,77,47,47,690.85"	"52,628"
06-Mar-24	EQ	"3,323.00"	"3,323.00"	"3,183.15"	"3,310.20"	"3,238.00"	"3,233.95"	"3,226.77"	"3,350.00"	"1,573.00"	"19,35,203"	"6,24,44,61,431.90"	"1,11,432"
